paintname,hex,place,modifier,longitude,latitude
Aro Street,#c69eaf,Aro Street,,174.7622315,-41.2942115
Martinborough,#5b4149,Martinborough,,175.4594856,-41.2183252
Hātaitai,#824657,Hātaitai,,174.7967804,-41.304278
Mt Difficulty,#a67284,Mt Difficulty,,169.0820402,-45.0430319
Te Atatū,#f1d3e0,Te Atatū,,174.6518628,-36.8411219
Newmarket,#c67593,Newmarket,,174.7780755,-36.8674453
Danseys Pass,#70384d,Danseys Pass,,170.3729642,-44.9526968
Taradale,#e7b6ca,Taradale,,176.8484327,-39.5334658
Parihaka,#f6e4ee,Parihaka,,173.8394654,-39.2887721
Vivian Street,#bd6886,Vivian Street,,174.7790376,-41.2961033
Queen Street,#604e64,Queen Street,,174.844574,-36.9465017
Middlemarch,#bcbac2,Middlemarch,,170.1218572,-45.5047446
Kaikōura,#383c43,Kaikōura,,173.6811428,-42.4005999
Lake Hauroko,#494e6c,Lake Hauroko,,167.3042173,-45.9551879
Doubtful Sound,#423d4b,Doubtful Sound,,167.0865205,-45.3738793
Denniston,#6a6c76,Denniston,,171.7973765,-41.7372136
Waiomio Half,#d6d1dc,Waiomio,Half,174.0736055,-35.4132566
Gannet Island,#c2bdc2,Gannet Island,,174.5655525,-37.9723213
West Plains,#ad969e,West Plains,,168.31445,-46.36936
Waiomio,#c9c3d2,Waiomio,,175.6722137,-41.1969402
Sockburn,#d6afaf,Sockburn,,172.5563941,-43.538496
Uretiti,#dc939b,Uretiti,,174.4643231,-35.9477806
Smugglers Bay Quarter,#eedddf,Smugglers Bay,Quarter,174.5358014,-35.8586247
Ohoka,#cf9fab,Ohoka,,172.5776605,-43.3630619
Ōrakei Kōrako Quarter,#e5e0ec,Ōrakei Kōrako,Quarter,176.1429966,-38.4737044
Ngāuruhoe,#a198a2,Ngāuruhoe,,175.6319511,-39.1567868
Moawhango,#826f9f,Moawhango,,175.8642409,-39.5794201
Māpua,#ca9c9c,Māpua,,173.0962191,-41.25321
Kaiapoi,#8b818c,Kaiapoi,,172.6521689,-43.3831623
Manukau,#9695c5,Manukau,,174.728854,-37.0864743
Durie Hill,#9e9cab,Durie Hill,,175.0692835,-39.9387491
Cape Palliser,#958a9f,Cape Palliser,,175.2734151,-41.6127164
Rāwhiti,#c2c3d2,Rāwhiti,,172.866497,-40.8853076
Tītī Islands,#d7c1cd,Tītī Islands,,174.1377949,-40.950582
Slipper Island,#8991b3,Slipper Island,,175.944856,-37.0493331
Russell,#2f3049,Russell,,174.1215291,-35.2617916
Napier,#b44970,Napier,,176.917839,-39.4902099
Lake Aviemore,#b2b8d1,Lake Aviemore,,170.2925416,-44.6105878
High Street,#a4334e,High Street,,174.8500526,-36.9443638
Cathedral Cove,#555c90,Cathedral Cove,,175.7903756,-36.8286883
Ākitio,#624875,Ākitio,,176.3329279,-40.475515
Kaituna,#856b72,Kaituna,,176.3705111,-37.8644387
Ōrakei Kōrako,#d1c9df,Ōrakei Kōrako,,176.1438986,-38.4741211
Five Fingers Peninsula,#697d89,Five Fingers Peninsula,,166.5132059,-45.6842669
Blue Pools,#b1c5cb,Blue Pools,,169.2704124,-44.1622229
Murrays Bay,#7d94a2,Murrays Bay,,174.7528516,-36.7329277
Clifton,#6c939f,Clifton,,172.750042,-43.5690584
Mangawhai Heads,#3d8a96,Mangawhai Heads,,174.5871983,-36.0947939
Tuatapere,#31363b,Tuatapere,,167.6907627,-46.1323096
Peep-O-Day,#383e44,Peep-O-Day,,175.8237791,-39.9551978
Mt Cecil,#b2bbdb,Mt Cecil,,170.924167,-44.584
Stirling Falls,#d1d7eb,Stirling Falls,,167.8711845,-44.609207
Urupukapuka Half,#ccd6e9,Urupukapuka,Half,174.2342095,-35.2156144
Taiaroa Head,#d9dbdf,Taiaroa Head,,170.7283327,-45.775145
Urupukapuka,#bdc9e2,Urupukapuka,,174.2385313,-35.2192038
Hobsonville,#8290b1,Hobsonville,,174.6473532,-36.799239
Pūkawa,#6d758e,Pūkawa,,175.7515667,-38.9137553
Springston,#3f414c,Springston,,172.4275629,-43.6445501
Pisa Moorings,#586880,Pisa Moorings,,169.2418048,-44.9769431
Lake Tarawera,#606d8e,Lake Tarawera,,176.4181593,-38.2053744
Moeraki,#39455c,Moeraki,,170.8515085,-45.3609866
Rothesay Bay,#49566b,Rothesay Bay,,174.7511465,-36.7215205
Blueskin Bay,#4d5878,Blueskin Bay,,170.581558,-45.730358
Twizel,#a9bcdd,Twizel,,170.0994145,-44.257483
Clutha,#94aad2,Clutha,,169.7398641,-46.2377982
Pelorus Bridge,#5d74a9,Pelorus Bridge,,173.5723636,-41.299103
Onerahi,#c9d7ed,Onerahi,,174.3686964,-35.755012
Amodeo Bay,#495e93,Amodeo Bay,,175.44151,-36.67408
Lake Alexandrina,#272e4e,Lake Alexandrina,,170.4525482,-43.9381889
Massey,#bec5d3,Massey,,174.6115457,-36.8402845
Blackhead Beach,#acb4c7,Blackhead Beach,,176.8360456,-40.1670106
Tunnel Beach,#97a1b8,Tunnel Beach,,170.4590756,-45.9207498
Lake Rotomahana,#3e4258,Lake Rotomahana,,176.4396996,-38.2646488
Lake Matheson,#4d546b,Lake Matheson,,169.9652356,-43.4391646
MacKinnon Pass,#828ca5,MacKinnon Pass,,167.7657824,-44.8024908
Sailors Cutting,#7a8da6,Sailors Cutting,,170.079889,-44.543472
Onemana,#65768e,Onemana,,175.8765974,-37.1567649
Spring Creek Half,#c8d5e7,Spring Creek,Half,173.966464,-41.4576978
Spring Creek,#b9c9e0,Spring Creek,,173.9505281,-41.4570618
Cape Brett,#5172a0,Cape Brett,,174.330918,-35.172407
Little Shoal Bay,#394f78,Little Shoal Bay,,174.742127,-36.8213828
Blue Knob,#5a6c8c,Blue Knob,,173.3280787,-41.3504493
Stilwell Bay,#b2c9e1,Stilwell Bay,,173.0433582,-40.9763126
Lake Monowai,#9fbdda,Lake Monowai,,167.6201526,-45.7902631
Raetihi,#dce6eb,Raetihi,,175.2828804,-39.4264953
Birdlings Flat,#c6d8e8,Birdlings Flat,,172.7047562,-43.8242634
Oneroa,#3c4965,Oneroa,,175.0098094,-36.7819161
Auckland Islands,#b2cdeb,Auckland Islands,,166.060652,-50.88239
Sumner,#9eb8d8,Sumner,,172.7528503,-43.5835253
Huntly,#5075a9,Huntly,,175.1588322,-37.5583996
Māhia,#89a6cd,Māhia,,177.898028,-39.183167
Lake Harris,#b9c5d4,Lake Harris,,168.176501,-44.7256585
Mairangi Bay,#406194,Mairangi Bay,,174.752935,-36.7386335
Kairākau Beach,#a5b3c7,Kairākau Beach,,176.9258042,-39.9454451
Kāwhia,#40495c,Kāwhia,,174.826715,-38.131666
The Chasm,#929cac,The Chasm,,170.6817725,-45.89336
Tauranga Bay,#7d8797,Tauranga Bay,,173.7866956,-35.0058954
Lake Dunstan,#666f7f,Lake Dunstan,,169.2013001,-45.0523301
Spectacle Lake,#526a81,Spectacle Lake,,174.6292603,-36.1820273
Maketu,#5b7c9c,Maketu,,176.4540339,-37.7582634
Mt Ward,#9eb8d0,Mt Ward,,167.18101,-45.60768
Torpedo Bay,#405b78,Torpedo Bay,,174.8076411,-36.8297438
Onetangi,#afc5d9,Onetangi,,175.0825819,-36.7891861
Hoopers Inlet,#6f8faf,Hoopers Inlet,,170.6724401,-45.8631845
Karioitahi Beach,#5782ae,Karioitahi Beach,,174.6679365,-37.31134
